id,date,merchant,description,amount,category,subcategory,source_card,receipt_status,receipt_email_id,receipt_email_subject,receipt_file,email_search_query,submission_status,priority,business_purpose,notes
BF-20250102-001,2025-01-02,Amazon,Amazon - Supplies,412.51,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,high,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250102-002,2025-01-02,Southwest,Southwest - Airlines,114.80,Travel,Airlines,Amex,pending,,,,,pending,medium,Business airlines,Backfill: Southwest Airlines  DALLAS              TX
BF-20250102-006,2025-01-02,Amazon,Amazon - Supplies,0.05,Equipment,Supplies,Amex,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon Web Services AWS.Amazon.com      WA
BF-20250104-001,2025-01-04,Apple,Apple - Hardware,14.38,Equipment,Hardware,Amex,email_available,,,,from:no_reply@email.apple.com subject:receipt,pending,medium,Business hardware,Backfill: APPLE.COM/BILL      INTERNET CHARGE     CA
BF-20250106-001,2025-01-06,Palo,Palo - Restaurant,26.88,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *PALO ALTO Palo Alto CA
BF-20250107-002,2025-01-07,DoorDash,DoorDash - Delivery,143.10,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH COUPACAFE 855-431-0459 CA
BF-20250107-001,2025-01-07,Verve,Verve - Restaurant,22.50,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *VERVE COFFEE ROASTERS Palo Alto CA
BF-20250109-002,2025-01-09,Aplpay,Aplpay - Other,40.05,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AplPay WURSTHALL    SAN MATEO           CA
BF-20250109-001,2025-01-09,Google,Google - Other,21.76,Meals,Other,Chase,pending,,,,,pending,medium,Business other,Backfill: GOOGLE *ONE AI Premium g.co/helppay# CA
BF-20250110-001,2025-01-10,DoorDash,DoorDash - Delivery,137.10,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH ELSINALOE WWW.DOORDASH. CA
BF-20250111-001,2025-01-11,DoorDash,DoorDash - Delivery,21.17,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH THEHALALG 855-431-0459 CA
BF-20250112-001,2025-01-12,Bedford,Bedford - Restaurant,64.08,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*BEDFORD GARDENS Brooklyn NY
BF-20250112-002,2025-01-12,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250113-001,2025-01-13,Amazon,Amazon - Supplies,76.17,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon.com*Z52EO5IM2 Amzn.com/bill WA
BF-20250115-002,2025-01-15,Don,Don - Restaurant,168.83,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*DON ANGIE New York NY
BF-20250115-001,2025-01-15,Amazon,Amazon - Supplies,65.31,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon.com*ZG2US2PN2 Amzn.com/bill WA
BF-20250116-001,2025-01-16,Hamburger,Hamburger - Restaurant,65.04,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*HAMBURGER AMERICA New York NY
BF-20250117-001,2025-01-17,Amazon,Amazon - Supplies,62.69,Equipment,Supplies,Chase,email_available,,,,from:auto-confirm@amazon.com,pending,medium,Business supplies,Backfill: Amazon.com*ZG8F44832 Amzn.com/bill WA
BF-20250118-001,2025-01-18,DoorDash,DoorDash - Delivery,28.37,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH XIANFAMOU 855-431-0459 CA
BF-20250119-001,2025-01-19,Square,Square - Restaurant,76.68,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: SQ *SQUARE DINER New York NY
BF-20250119-002,2025-01-19,Aplpay,Aplpay - Other,19.58,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AplPay AMC 2112 TH SNEW YORK            NY
BF-20250120-001,2025-01-20,Aplpay,Aplpay - Other,20.00,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AplPay CLIPPER SYSTECONCORD             CA
BF-20250120-002,2025-01-20,Amc,Amc - Other,19.99,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: AMC 9640 ONLINE*9640LEAWOOD             KS
BF-20250121-003,2025-01-21,Chez,Chez - Restaurant,84.69,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*CHEZ MAMAN - EAST San Francisco CA
BF-20250121-002,2025-01-21,DoorDash,DoorDash - Delivery,70.36,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH MYDUMPLIN 855-431-0459 CA
BF-20250121-001,2025-01-21,Red,Red - Restaurant,34.83,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST* RED HOT CHILLI PEPPE SAN CARLOS CA
BF-20250123-001,2025-01-23,Doppio,Doppio - Restaurant,93.53,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*DOPPIO ZERO - SAN CA San Carlos CA
BF-20250123-002,2025-01-23,Uber,Uber - Rideshare,8.74,Travel,Rideshare,Amex,email_available,,,,from:noreply@uber.com subject:trip,pending,medium,Business rideshare,Backfill: UBER
BF-20250124-002,2025-01-24,Mensho,Mensho - Restaurant,96.48,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*MENSHO - GEARY San Francisco CA
BF-20250124-001,2025-01-24,DoorDash,DoorDash - Delivery,57.04,Meals,Delivery,Chase,email_available,,,,from:no-reply@doordash.com subject:confirmation,pending,medium,Business delivery,Backfill: DD *DOORDASH POKEHOUSE 855-431-0459 CA
BF-20250124-003,2025-01-24,Uber,Uber - Rideshare,17.95,Travel,Rideshare,Amex,email_available,,,,from:noreply@uber.com subject:trip,pending,medium,Business rideshare,Backfill: UBER
BF-20250125-001,2025-01-25,Delta Air Lines,Delta Air Lines - Airlines,551.96,Travel,Airlines,Amex,email_available,,,,from:DeltaAirLines@t.delta.com subject:receipt,pending,high,Business airlines,Backfill: DELTA AIR LINES
BF-20250126-001,2025-01-26,The,The - Restaurant,37.78,Meals,Restaurant,Chase,pending,,,,,pending,medium,Business restaurant,Backfill: TST*THE REFUGE - SAN CAR San Carlos CA
BF-20250128-003,2025-01-28,Sp,Sp - Other,87.30,Meals,Other,Amex,pending,,,,,pending,medium,Business other,Backfill: SP WWW.KOIO.CO      NEW YORK            NY
